,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
66545,59978,FINNIFTY01NOV2217700PE,FINNIFTY,01NOV2022,1770000.000000,40,OPTIDX,NFO,5.000000
66546,59719,FINNIFTY22NOV2219700PE,FINNIFTY,22NOV2022,1970000.000000,40,OPTIDX,NFO,5.000000
66548,42598,NIFTY08DEC2214800PE,NIFTY,08DEC2022,1480000.000000,50,OPTIDX,NFO,5.000000
66549,51720,MIDCPNIFTY15NOV227500CE,MIDCPNIFTY,15NOV2022,750000.000000,75,OPTIDX,NFO,5.000000
66554,48768,FINNIFTY22NOV2217050CE,FINNIFTY,22NOV2022,1705000.000000,40,OPTIDX,NFO,5.000000
66556,51467,FINNIFTY15NOV2221100CE,FINNIFTY,15NOV2022,2110000.000000,40,OPTIDX,NFO,5.000000
66557,70405,MIDCPNIFTY22NOV228800PE,MIDCPNIFTY,22NOV2022,880000.000000,75,OPTIDX,NFO,5.000000
66564,42787,NIFTY08DEC2217500PE,NIFTY,08DEC2022,1750000.000000,50,OPTIDX,NFO,5.000000
66571,42436,BANKNIFTY10NOV2240900CE,BANKNIFTY,10NOV2022,4090000.000000,25,OPTIDX,NFO,5.000000
66572,86000,BANKNIFTY28SEP2345000PE,BANKNIFTY,28SEP2023,4500000.000000,25,OPTIDX,NFO,5.000000
66581,50374,BANKNIFTY01DEC2238800PE,BANKNIFTY,01DEC2022,3880000.000000,25,OPTIDX,NFO,5.000000
66583,55393,BANKNIFTY25JAN2338600PE,BANKNIFTY,25JAN2023,3860000.000000,25,OPTIDX,NFO,5.000000
66589,44590,FINNIFTY13DEC2220700CE,FINNIFTY,13DEC2022,2070000.000000,40,OPTIDX,NFO,5.000000
66598,44775,FINNIFTY07NOV2218500PE,FINNIFTY,07NOV2022,1850000.000000,40,OPTIDX,NFO,5.000000
66600,44388,FINNIFTY13DEC2216100PE,FINNIFTY,13DEC2022,1610000.000000,40,OPTIDX,NFO,5.000000
66605,60219,MIDCPNIFTY01NOV227050PE,MIDCPNIFTY,01NOV2022,705000.000000,75,OPTIDX,NFO,5.000000
66615,49207,BANKNIFTY03NOV2237000CE,BANKNIFTY,03NOV2022,3700000.000000,25,OPTIDX,NFO,5.000000
66642,40562,MIDCPNIFTY29NOV228950CE,MIDCPNIFTY,29NOV2022,895000.000000,75,OPTIDX,NFO,5.000000
66664,55573,BANKNIFTY25JAN2344700CE,BANKNIFTY,25JAN2023,4470000.000000,25,OPTIDX,NFO,5.000000
66679,44883,FINNIFTY07NOV2221000PE,FINNIFTY,07NOV2022,2100000.000000,40,OPTIDX,NFO,5.000000
66684,40348,FINNIFTY06DEC2219100PE,FINNIFTY,06DEC2022,1910000.000000,40,OPTIDX,NFO,5.000000
66686,47361,NIFTY15DEC2219500CE,NIFTY,15DEC2022,1950000.000000,50,OPTIDX,NFO,5.000000
66696,37745,NIFTY29JUN2320000PE,NIFTY,29JUN2023,2000000.000000,50,OPTIDX,NFO,5.000000
66700,44285,FINNIFTY13DEC2213200CE,FINNIFTY,13DEC2022,1320000.000000,40,OPTIDX,NFO,5.000000
66706,50231,MIDCPNIFTY20DEC228450PE,MIDCPNIFTY,20DEC2022,845000.000000,75,OPTIDX,NFO,5.000000
66733,59630,FINNIFTY22NOV2218500CE,FINNIFTY,22NOV2022,1850000.000000,40,OPTIDX,NFO,5.000000
66736,57122,BANKNIFTY30MAR2333000PE,BANKNIFTY,30MAR2023,3300000.000000,25,OPTIDX,NFO,5.000000
66751,55795,NIFTY25JAN2317000CE,NIFTY,25JAN2023,1700000.000000,50,OPTIDX,NFO,5.000000
66755,70468,MIDCPNIFTY22NOV229150CE,MIDCPNIFTY,22NOV2022,915000.000000,75,OPTIDX,NFO,5.000000
66770,71523,NIFTY24JUN2714000CE,NIFTY,24JUN2027,1400000.000000,50,OPTIDX,NFO,5.000000
66780,44530,FINNIFTY13DEC2219700PE,FINNIFTY,13DEC2022,1970000.000000,40,OPTIDX,NFO,5.000000
